indexTime,phase,durationMs,filename,filePosition
1697456776,4,5013.8133,Gamma.dat,28262400
1697456781,4,5001.0931,Gamma.dat,28416000
1697456786,4,5014.2488,Gamma.dat,28569600
1697456791,4,5010.7279,Gamma.dat,28723200
1697456797,5,5001.1891,Gamma.dat,28876800
1697456802,5,5010.5151,Gamma.dat,29030400
1697456807,5,5012.3545,Gamma.dat,29184000
1697456812,5,5001.4904,Gamma.dat,29337600
1697456818,6,5002.2309,Gamma.dat,29491200
1697456823,6,5013.5802,Gamma.dat,29644800
1697456829,6,5019.7012,Gamma.dat,29798400
1697456834,6,5010.6295,Gamma.dat,29952000
1697456839,6,5014.1481,Gamma.dat,30105600
1697456844,6,5002.516,Gamma.dat,30259200
1697456849,6,5014.6595,Gamma.dat,30412800
1697456854,6,5013.0797,Gamma.dat,30566400
1697456861,5,5003.296,Gamma.dat,30720000
1697456866,5,5009.732,Gamma.dat,30873600
1697456871,5,5007.6153,Gamma.dat,31027200
1697456876,5,5002.111,Gamma.dat,31180800
1697456882,4,5001.1531,Gamma.dat,31334400
1697456887,4,5001.2979,Gamma.dat,31488000
1697456892,4,5001.5473,Gamma.dat,31641600
1697456897,4,5000.6448,Gamma.dat,31795200
1697456904,3,5006.5252,Gamma.dat,31948800
1697456909,3,5002.7023,Gamma.dat,32102400
1697456914,3,5014.3467,Gamma.dat,32256000
1697456919,3,5019.9779,Gamma.dat,32409600
1697456925,2,5002.7966,Gamma.dat,32563200
1697456930,2,5008.7656,Gamma.dat,32716800
1697456935,2,5012.3226,Gamma.dat,32870400
1697456940,2,5002.2601,Gamma.dat,33024000
1697456947,1,5011.8188,Gamma.dat,33177600
1697456952,1,5090.6313,Gamma.dat,33331200
1697456957,1,5001.5128,Gamma.dat,33484800
1697456962,1,5007.7437,Gamma.dat,33638400
1697456969,0,5000.4987,Gamma.dat,33792000
1697456974,0,5004.4324,Gamma.dat,33945600
1697456979,0,5001.5024,Gamma.dat,34099200
1697456984,0,5001.2833,Gamma.dat,34252800
1697456989,0,5001.0327,Gamma.dat,34406400
1697456994,0,5006.7457,Gamma.dat,34560000
1697456999,0,5000.6944,Gamma.dat,34713600
1697457004,0,5002.4988,Gamma.dat,34867200
1697457011,1,5001.678,Gamma.dat,35020800
1697457016,1,5000.7369,Gamma.dat,35174400
1697457021,1,5001.3879,Gamma.dat,35328000
1697457026,1,5012.9315,Gamma.dat,35481600
1697457032,2,5009.5462,Gamma.dat,35635200
1697457037,2,5001.1701,Gamma.dat,35788800
1697457042,2,5000.8087,Gamma.dat,35942400
1697457047,2,5013.1439,Gamma.dat,36096000
1697457053,3,5001.3753,Gamma.dat,36249600
1697457058,3,5009.7715,Gamma.dat,36403200
1697457063,3,5000.4331,Gamma.dat,36556800
1697457068,3,5001.4408,Gamma.dat,36710400
1697457075,4,5001.6125,Gamma.dat,36864000
1697457080,4,5007.9287,Gamma.dat,37017600
1697457085,4,5002.1451,Gamma.dat,37171200
1697457090,4,5001.0972,Gamma.dat,37324800
1697457096,5,5012.8884,Gamma.dat,37478400
1697457101,5,5001.7065,Gamma.dat,37632000
1697457106,5,5012.4899,Gamma.dat,37785600
1697457111,5,5008.893,Gamma.dat,37939200
1697457117,6,5001.8031,Gamma.dat,38092800
1697457122,6,5012.5669,Gamma.dat,38246400
1697457127,6,5002.2438,Gamma.dat,38400000
1697457133,6,5000.6836,Gamma.dat,38553600
1697457138,6,5001.0011,Gamma.dat,38707200
1697457143,6,5013.7498,Gamma.dat,38860800
1697457148,6,5001.6081,Gamma.dat,39014400
1697457153,6,5014.6237,Gamma.dat,39168000
1697457159,5,5013.7177,Gamma.dat,39321600
1697457164,5,5001.0285,Gamma.dat,39475200
1697457169,5,5010.4597,Gamma.dat,39628800
1697457175,5,5009.7171,Gamma.dat,39782400
1697457181,4,5000.994,Gamma.dat,39936000
1697457186,4,5009.435,Gamma.dat,40089600
1697457191,4,5001.273,Gamma.dat,40243200
1697457196,4,5001.0412,Gamma.dat,40396800
1697457202,3,5009.5527,Gamma.dat,40550400
1697457207,3,5000.8753,Gamma.dat,40704000
1697457212,3,5001.5822,Gamma.dat,40857600
1697457217,3,5010.4026,Gamma.dat,41011200
1697457224,2,5011.7585,Gamma.dat,41164800
1697457229,2,5001.0821,Gamma.dat,41318400
1697457234,2,5009.6628,Gamma.dat,41472000
1697457239,2,5026.6677,Gamma.dat,41625600
1697457245,1,5001.7601,Gamma.dat,41779200
1697457250,1,5007.1416,Gamma.dat,41932800
1697457255,1,5000.4383,Gamma.dat,42086400
1697457260,1,5001.2836,Gamma.dat,42240000
1697457267,0,5009.3916,Gamma.dat,42393600
1697457272,0,5010.0076,Gamma.dat,42547200
1697457277,0,5001.9914,Gamma.dat,42700800
1697457282,0,5000.9699,Gamma.dat,42854400
1697457287,0,5014.537,Gamma.dat,43008000
1697457292,0,5001.1887,Gamma.dat,43161600
1697457297,0,5007.6639,Gamma.dat,43315200
1697457302,0,5013.6196,Gamma.dat,43468800
1697457309,1,5000.7619,Gamma.dat,43622400
1697457314,1,5012.6396,Gamma.dat,43776000
1697457319,1,5012.963,Gamma.dat,43929600
1697457324,1,5001.5039,Gamma.dat,44083200
1697457330,2,5010.3216,Gamma.dat,44236800
1697457335,2,5010.637,Gamma.dat,44390400
1697457340,2,5001.4335,Gamma.dat,44544000
1697457345,2,4999.6899,Gamma.dat,44697600
1697457351,3,5012.8929,Gamma.dat,44851200
1697457356,3,5004.0711,Gamma.dat,45004800
1697457362,3,5009.1482,Gamma.dat,45158400
1697457367,3,5013.2764,Gamma.dat,45312000
1697457373,4,5001.7212,Gamma.dat,45465600
1697457378,4,5012.0407,Gamma.dat,45619200
1697457383,4,5013.723,Gamma.dat,45772800
1697457388,4,5001.4038,Gamma.dat,45926400
1697457394,5,5013.3866,Gamma.dat,46080000
1697457399,5,5001.7841,Gamma.dat,46233600
1697457404,5,5002.0026,Gamma.dat,46387200
1697457409,5,5000.98,Gamma.dat,46540800
1697457416,6,5012.2925,Gamma.dat,46694400
1697457421,6,5001.358,Gamma.dat,46848000
1697457426,6,5004.4931,Gamma.dat,47001600
1697457431,6,5001.61,Gamma.dat,47155200
1697457436,6,5001.5158,Gamma.dat,47308800
1697457441,6,4999.9155,Gamma.dat,47462400
1697457446,6,5001.0377,Gamma.dat,47616000
1697457451,6,5001.4805,Gamma.dat,47769600
1697457458,5,5010.4852,Gamma.dat,47923200
1697457463,5,5010.8469,Gamma.dat,48076800
1697457468,5,5007.5506,Gamma.dat,48230400
1697457473,5,5010.739,Gamma.dat,48384000
1697457479,4,5002.2064,Gamma.dat,48537600
1697457484,4,5001.2508,Gamma.dat,48691200
1697457489,4,5000.4895,Gamma.dat,48844800
1697457494,4,5011.1246,Gamma.dat,48998400
1697457501,3,5000.8031,Gamma.dat,49152000
1697457506,3,5011.1269,Gamma.dat,49305600
1697457511,3,5001.1344,Gamma.dat,49459200
1697457516,3,5001.3855,Gamma.dat,49612800
1697457522,2,5010.5703,Gamma.dat,49766400
1697457527,2,5010.2806,Gamma.dat,49920000
1697457532,2,5003.5415,Gamma.dat,50073600
1697457537,2,5000.7666,Gamma.dat,50227200
1697457543,1,5013.5823,Gamma.dat,50380800
1697457548,1,5000.6032,Gamma.dat,50534400
1697457554,1,5012.3156,Gamma.dat,50688000
1697457559,1,5007.5053,Gamma.dat,50841600
1697457565,0,5001.9577,Gamma.dat,50995200
1697457570,0,5007.9404,Gamma.dat,51148800
1697457575,0,5001.8672,Gamma.dat,51302400
1697457580,0,5002.5675,Gamma.dat,51456000
1697457585,0,5008.5081,Gamma.dat,51609600
1697457591,0,5013.5284,Gamma.dat,51763200
1697457596,0,5001.2522,Gamma.dat,51916800
1697457601,0,5014.3808,Gamma.dat,52070400
1697457607,1,5011.5795,Gamma.dat,52224000
1697457612,1,5002.3047,Gamma.dat,52377600
1697457617,1,5010.9018,Gamma.dat,52531200
1697457622,1,5010.8363,Gamma.dat,52684800
1697457629,2,5001.5488,Gamma.dat,52838400
1697457634,2,5006.6483,Gamma.dat,52992000
1697457639,2,5014.1288,Gamma.dat,53145600
1697457644,2,5002.1617,Gamma.dat,53299200
1697457650,3,5000.9191,Gamma.dat,53452800
1697457655,3,5001.2336,Gamma.dat,53606400
1697457660,3,5001.4371,Gamma.dat,53760000
1697457665,3,4999.8752,Gamma.dat,53913600
1697457671,4,5008.1156,Gamma.dat,54067200
1697457676,4,5001.5333,Gamma.dat,54220800
1697457681,4,5013.1785,Gamma.dat,54374400
1697457686,4,5013.5299,Gamma.dat,54528000
1697457693,5,5000.67,Gamma.dat,54681600
1697457698,5,5013.2033,Gamma.dat,54835200
1697457703,5,5001.0026,Gamma.dat,54988800
1697457708,5,5000.852,Gamma.dat,55142400
